41586,62,38,68,116,192,167,49,29,13,21
19849,7,4,4,20,15,25,13,14,7,13
19305,9,4,8,7,19,30,10,7,7,16
30121,5,,3,3,1,6,3,2,,9
4715,483,1097,2764,2980,1244,454,130,67,35,21
39320,6,2,4,27,31,37,16,9,9,5
35419,4,,1,11,8,13,7,5,2,2
48517,12,3,5,7,11,7,2,4,3,5
37087,1171,879,2418,5127,3798,1660,400,177,84,96
41025,49256,76956,72745,31087,10460,4335,1762,689,363,552
1252,74,95,201,331,473,403,320,229,163,131
284,248,494,1066,1557,855,444,164,46,38,40
38276,556,958,2787,5583,4142,2318,797,318,124,97
8956,10,5,29,44,45,24,11,9,2,12
48025,,,,,,,,1,,
42358,2,,,2,10,16,12,9,4,10
26297,4,1,2,2,4,,1,1,1,2
9289,12494,25480,41029,25673,9355,3704,1172,387,184,228
43661,1,,,,2,1,,,,
1938,9,26,73,137,151,103,48,22,13,5
10590,333,266,508,904,768,508,197,105,51,51
6558,120,96,221,419,460,331,173,83,57,66
4698,157,136,294,460,401,243,106,64,28,32
38702,6,2,7,34,42,80,23,18,11,10
39401,11,1,,3,4,9,10,2,5,5
35170,4,,2,2,2,4,1,1,,29
24991,8351,7379,12586,19954,16498,8627,4010,2205,1647,1372
48109,,,,,1,,,,,
29801,73,16,50,130,218,225,56,37,22,19
36447,10,2,9,24,36,51,20,17,15,15
688,492,682,1508,2268,1825,1078,469,237,102,95
9375,97,44,106,184,269,320,155,92,74,60
1298,74,137,294,641,515,341,133,58,14,10
3556,38,25,41,87,118,146,60,41,26,36
37533,5,1,8,11,28,19,6,6,3,3
33177,8,,2,3,6,10,6,7,11,6
39872,11,8,30,88,112,67,40,31,17,21
49941,11,1,5,14,18,28,14,7,1,4
18627,3,,,6,2,7,7,2,3,11
30976,4,1,,6,,,,,,1
12223,71,81,191,284,175,83,45,18,11,10
9858,29,24,29,82,87,35,16,7,7,8
10375,8,7,8,34,58,35,18,14,9,16
1788,79,46,88,216,293,237,145,76,55,88
468,10186,15756,23789,18303,7428,2781,1244,394,203,152
22119,262,170,331,608,619,402,192,105,64,70
21053,6,1,,6,6,9,6,3,6,5
38964,6,4,14,22,41,34,10,5,2,5
29267,6,1,2,5,14,12,2,6,2,3
48643,,,,,,1,,,,
6293,130,122,326,496,293,205,78,25,13,13
30054,5,,,3,9,4,2,3,,
35335,,,,,,,,,,
9327,84,53,86,178,229,192,89,58,32,30
1853,151,156,295,610,455,268,131,73,26,28
48979,1,,,4,8,5,1,,,1
27419,182,208,483,1058,741,335,82,37,19,14
40403,137,112,255,655,886,919,531,305,214,159
38495,6,1,1,3,10,13,7,14,10,16
2318,14,8,17,49,67,120,149,185,185,128
19983,8,,,10,9,14,5,3,,5
2083,28,48,96,259,293,184,80,27,13,9
43231,1,,,,2,3,1,1,,
33879,12,11,16,29,15,12,2,2,1,1
3455,24462,28399,57808,81854,49307,25979,12773,6099,3540,2781
48086,,,,1,1,,,,1,
34975,44,23,55,86,123,157,106,48,42,31
40806,71,39,104,192,100,41,15,4,4,9
197,497,664,1451,2595,2131,1419,660,316,216,147
5178,750,1044,2252,3958,4232,3057,2042,1024,613,448
