anime_id,watching,completed,on-hold,dropped,plan to watch,total
30,94462,1054011,45520,26073,276580,1496646
3040,172,2578,107,153,897,3907
5665,79,348,47,80,356,910
7343,40,262,27,90,193,612
29673,8,269,4,40,90,411
73,5140,187903,4047,2445,43752,243287
4732,318,2280,229,220,1354,4401
7427,55,553,40,39,669,1356
18031,12,159,7,43,115,336
935,5733,54709,5084,5652,34288,105466
31853,240,13586,106,126,4678,18736
91,627,36979,316,277,6314,44513
49975,9,74,4,14,57,158
38738,4,94,3,32,34,167
34325,170,7756,148,144,1551,9769
31348,12,173,3,55,81,324
2971,742,13888,589,374,6587,22180
20909,1218,21627,905,658,14220,38628
267,7132,77077,6031,5876,73638,169754
5081,85527,769269,55372,40840,300166,1251174
11673,13,71,8,56,221,369
516,8238,23939,11182,9660,15149,68168
3737,93,4984,79,249,1041,6446
10244,20,200,7,63,81,371
3499,39,554,45,133,333,1104
9252,527,48200,306,220,7366,56619
35727,824,9847,486,444,2500,14101
42247,4,99,1,11,46,161
50638,0,0,0,0,3372,3372
2161,1365,9547,1133,1406,14947,28398
3027,182,4763,123,101,2621,7790
24705,9105,74390,5474,12958,43034,144961
38670,1290,5356,645,1684,6466,15441
10592,152,1712,100,88,2717,4769
1379,1057,30980,585,266,18514,51402
49600,3,154,3,6,18,184
4723,121,241,90,118,1141,1711
42836,21,707,7,24,182,941
50599,1998,0,83,103,2535,4719
1731,1851,28557,1486,1204,16596,49694
29505,14,141,2,39,66,262
41919,0,0,0,0,4090,4090
34409,23,298,8,46,165,540
456,887,7718,965,1188,7507,18265
36964,13,53,8,61,121,256
6861,34,721,11,41,468,1275
27393,16,75,6,51,107,255
32603,6814,108423,2391,2883,25995,146506
748,172,2007,91,111,2203,4584
4394,24,769,11,53,143,1000
6951,382,37165,212,217,4931,42907
34052,260,823,153,676,587,2499
6418,118,4208,82,111,1710,6229
9063,624,28012,397,218,9041,38292
33520,1028,18757,485,539,19317,40126
3915,108,687,110,235,1026,2166
3690,49,307,32,90,407,885
4391,37,1176,18,53,218,1502
37197,8,165,0,17,57,247
5785,54,1703,28,51,711,2547
37154,3658,11605,1569,6798,15794,39424
44847,4,14,5,10,41,74
39605,580,6307,294,202,7628,15011
49860,129,1598,25,37,499,2288
19555,12,60,3,48,65,188
693,402,4192,355,439,3460,8848
10163,11067,173726,7800,10226,72702,275521
1892,36,552,25,65,315,993
18655,1598,7609,746,495,4969,15417
34438,2228,47717,961,712,33469,85087
