character_id,people_id
72349,26645
36830,26645
42808,26645
61169,26645
66809,26645
143038,26645
124788,26645
137791,26645
85813,26645
85807,26645
129275,26645
83015,26645
138964,26645
161765,26645
170672,26645
137552,26645
6133,26645
83015,26645
16733,26645
66809,26645
42808,26645
61169,26645
113595,26645
93343,26645
162321,26645
112723,26645
115087,26645
113595,26645
115453,26645
89243,26645
134299,26645
16733,26645
8892,26645
8515,26645
8512,26645
93343,26645
112723,26645
112441,26645
2147,26645
2117,26645
2096,26645
170672,26645
6133,26645
31035,26645
61169,26645
63327,26645
42808,26645
89243,26645
31035,26645
170672,26645
74726,26645
74541,26645
73355,26645
61169,26645
63327,26645
42808,26645
134746,26645
133723,26645
94235,26645
53831,26645
82869,26645
63543,26645
29808,26645
26,26645
37252,26645
39288,26645
147939,26645
5,26645
16733,26645
34340,26645
16733,26645
5,26645
16733,26645
3204,26645
9440,26645
1122,26645
10173,26645
5,26645
24747,26645
89,26645
3204,26645
3574,26645
5,26645
16541,26645
1122,26645
464,26645
3574,26645
514,26645
5341,26645
200,26645
10516,26645
7225,26645
37594,26645
123,26645
5,26645
200,26645
3233,26645
4042,26645
16961,26645
4925,26645
48,26645
34512,26645
123,26645
10118,26645
72213,26645
447,26645
2235,26645
447,26645
369,26645
20881,26645
3189,26645
57,26645
41352,26645
41347,26645
41331,26645
127836,26645
162614,14025
309,14025
100745,14025
100685,14025
51781,14025
309,14025
51781,14025
68775,14025
51781,14025
42914,14025
51781,14025
309,14025
309,14025
36815,14025
309,14025
309,14025
130118,14025
2650,14025
107757,14025
26556,14025
107753,14025
18311,14025
106559,14025
105243,14025
309,14025
6729,14025
3102,14025
309,14025
9048,14025
309,14025
36333,14025
119527,14025
119523,14025
309,14025
19890,14025
7053,14025
26020,14025
309,14025
39845,14025
309,14025
23365,14025
33726,14025
23027,14025
5420,14025
22800,14025
21380,14025
23533,14025
41790,14025
42051,14025
6306,14025
30377,14025
30357,14025
41776,14025
28485,14025
41760,14025
41586,14025
44893,14025
3006,7414
19333,7227
19333,7227
19333,7227
19333,7227
19333,7227
19333,7227
19333,7227
19333,7227
19333,7227
2283,8408
3154,8408
17188,8408
2179,10693
34562,10693
25550,10693
40419,10693
40419,10693
4868,10693
40419,10693
87685,10693
75508,10693
30965,10693
170937,42362
147401,42362
50519,42362
149872,42362
149831,42362
29250,42362
50519,42362
89519,24629
12354,17739
12354,17739
12354,17739
12354,17739
8675,17739
20514,17739
2009,17739
2825,17739
2825,17739
2825,17739
2825,17739
25910,17739
25906,17739
25877,17739
25876,17739
25872,17739
25923,17739
2825,17739
67783,10175
157452,10175
133440,10175
96439,10175
67783,10175
142904,10175
31790,10175
140255,10175
23858,10175
133874,10175
164083,10175
160234,10175
180561,10175
167,21453
29424,21453
117913,21453
146653,21453
3854,21453
100473,21453
135768,21453
3854,21453
3854,21453
1356,21453
3854,21453
3087,21453
3854,21453
3854,21453
14292,21453
5991,21453
3854,21453
3854,21453
14032,21453
80831,21453
167,21453
3854,21453
1356,21453
3854,21453
5991,21453
10006,21453
3854,21453
18707,21453
3854,21453
20191,21453
3854,21453
3643,21453
7699,21453
97083,37545
32469,37545
11060,39796
12070,39796
106093,5578
77223,5578
68573,5578
19813,5578
24406,5578
820,5578
6599,5578
39453,5578
9749,5578
12453,5578
149624,43718
112517,43718
139262,43718
194623,43718
174973,43718
149624,43718
146158,43718
195033,43718
139262,43718
724,43718
171041,43718
140229,43718
149624,43718
132569,43718
136300,43718
146158,43718
168270,43718
149624,43718
139262,43718
132569,43718
156766,43718
132569,43718
158548,43718
139262,43718
132569,43718
724,43718
169734,43718
132569,43718
