anime_id,english_title
24877,"Fair, then Partly Piggy"
27461,
40031,Squishy! Black Clover
13223,
38587,
32765,
1933,Growlanser IV: Wayfarer of Time
38347,
30159,
10815,
16808,The Golden Iron Man
14227,My Little Monster
41939,
3457,
32803,
2945,Desperate Carnal Housewives
2102,
40888,Mobile Suit Academy: The Return of 'G-Reco Koushien'
5162,
36704,
39272,Genji Fantasy: The Cat Fell in Love With Hikaru Genji
8356,
28991,
33431,Angus & Cheryl
37172,
27559,
37148,
3911,The Harvest Night
34207,
32400,
25101,
10603,
34776,
30543,
32836,Symphogear AXZ
43271,The Pigeon
32928,
49164,
39406,
7273,The Death Lullaby
33366,
33922,
16702,
47998,The Legend of Little Buddha
36362,
50183,
49392,"I, Tsushima"
2833,
30925,Gatchaman Crowds Insight
12935,
39650,
15617,Humanity Has Declined Specials
21717,
1956,
10244,
38352,
23341,The irregular at magic high school: Get to Know Magic Studies!
39078,
15045,Lychee Light Club
29708,
37623,Modest Heroes
40166,
615,
37655,
41467,
32408,
33388,
23675,
50220,
35496,
28057,
255,
33687,
32751,Little Door Gods
28957,
48456,
4132,Little Women
11411,
7536,
22445,Hello Kitty in Mom Loves Me After All
8609,
16590,
38937,
34910,The Room
48649,Fuuto PI
36343,
5900,
3227,
49550,
9795,
16756,
39527,
50481,
6381,
32693,
16828,
12759,
37021,
45758,
1567,Mysterious Thief Saint Tail
36070,
33836,
21099,
5054,
41651,
25923,
22335,
7626,Triton of the Sea (1979)
6392,
9335,
2630,
38513,
10460,You and Me.
37948,
17727,
42055,
31227,
2606,
38030,
18375,
28045,The Golden Flower
10552,
40830,
38907,The Kind Devil
37999,Kaguya-sama: Love is War
50438,
10196,
48926,Komi Can't Communicate
32895,
34591,Natsume's Book of Friends Season 6
39448,
8493,Gegege no Kitarou: Kitarou's Ghost Train
6075,
28367,Dr. Slump: New Year Doesn't Come
30457,
46305,
9491,
6094,
50462,False Memory
34818,
25071,
3349,
