anime_id,title,type,aired,premiered,studios,source,genres,rating,theme,anime_img_url
31665,Hibike! Euphonium: Kakedasu Monaka,Special,"Dec 16, 2015",,Kyoto Animation,Novel,Drama,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/2/77322.jpg
50466,Mou Sukoshi dake,Music,"Nov 22, 2021",,"None found, add some",Novel,,PG-13 - Teens 13 or older,Music,https://cdn.myanimelist.net/images/anime/1648/119673.jpg
11789,Wish Me Mell,ONA,"Jun 5, 2011 to Jul 20, 2012",,"None found, add some",Other,Fantasy,G - All Ages,,https://cdn.myanimelist.net/images/anime/13/32955.jpg
50111,OTMGirls no Yokiyoki Channel: Birthday Special Story,Special,"Nov 5, 2020 to Nov 5, 2021",,"None found, add some",Other,"Comedy, Slice of Life",G - All Ages,,https://cdn.myanimelist.net/images/anime/1137/120930.jpg
37626,"""R100"" x Mameshiba Original Manners",ONA,"Sep 11, 2013",,"None found, add some",Other,Comedy,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/1135/92193.jpg
34622,Giant Robo,Special,"Jul 27, 2007",,OLM,Manga,Action,G - All Ages,Mecha,https://cdn.myanimelist.net/images/anime/13/83534.jpg
35780,Inyouchuu Shoku: Harami Ochiru Shoujo-tachi Anime Edition,OVA,"Aug 4, 2017",,Studio 9 Maiami,Visual novel,Hentai,Rx - Hentai,Demons,https://cdn.myanimelist.net/images/anime/1288/108384.jpg
36510,Ulysses: Jehanne Darc to Renkin no Kishi,TV,"Oct 7, 2018 to Dec 30, 2018",Fall 2018,AXsiZ,Light novel,"Action, Fantasy",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/1143/96156.jpg
41379,Kimi wa Kanata,Movie,"Nov 27, 2020",,Digital Network Animation,Original,"Drama, Fantasy",None,,https://cdn.myanimelist.net/images/anime/1724/109743.jpg
14675,Rinne no Lagrange: Kamogawa Memoria,Special,"Jul 1, 2012",,"Production I.G, Xebec",Unknown,"Action, Comedy, Sci-Fi",PG-13 - Teens 13 or older,Mecha,https://cdn.myanimelist.net/images/anime/7/39929.jpg
26141,Hato yo: Hiroshima no Sora wo,OVA,1999,,"None found, add some",Unknown,,G - All Ages,Historical,https://cdn.myanimelist.net/images/anime/6/66031.jpg
31621,Ooyasan wa Shishunki!,TV,"Jan 10, 2016 to Mar 27, 2016",Winter 2016,Seven Arcs Pictures,4-koma manga,"Comedy, Slice of Life",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/13/77832.jpg
35368,Two on the Road: Itsumo Futari de,OVA,1992,,"None found, add some",Original,Romance,PG - Children,Music,https://cdn.myanimelist.net/images/anime/2/85165.jpg
33661,Crayon Shin-chan Gaiden: Alien vs. Shinnosuke,ONA,"Aug 3, 2016 to Oct 26, 2016",,Shin-Ei Animation,Manga,"Comedy, Sci-Fi, Ecchi",G - All Ages,Space,https://cdn.myanimelist.net/images/anime/4/80926.jpg
40660,Start,ONA,"Nov 2, 2019",,l-a-unch・BOX,Original,Slice of Life,G - All Ages,,https://cdn.myanimelist.net/images/anime/1797/104155.jpg
16331,Next A-Class,ONA,"Nov 17, 2012",,Production I.G,Original,"Action, Sci-Fi",PG-13 - Teens 13 or older,Cars,https://cdn.myanimelist.net/images/anime/4/44099.jpg
10686,Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,Movie,"Jul 30, 2011",,Studio Pierrot,Manga,"Action, Adventure",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/9/30813.jpg
29053,Orangutan,Music,"Feb 7, 1980",,"None found, add some",Original,,G - All Ages,Music,https://cdn.myanimelist.net/images/anime/4/69929.jpg
3420,Shigofumi,TV,"Jan 6, 2008 to Mar 23, 2008",Winter 2008,J.C.Staff,Original,"Drama, Fantasy, Supernatural, Suspense",R - 17+ (violence & profanity),Psychological,https://cdn.myanimelist.net/images/anime/4/50787.jpg
35035,Sam-chan no Obake Nanka Kowaku Nai,OVA,Aug 1998,,"None found, add some",Original,Supernatural,G - All Ages,,https://cdn.myanimelist.net/images/anime/3/84567.jpg
5290,Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,Movie,"Mar 1, 2008",,Sunrise,Unknown,"Comedy, Sci-Fi",PG - Children,,https://cdn.myanimelist.net/images/anime/1558/98560.jpg
5630,Higashi no Eden,TV,"Apr 10, 2009 to Jun 19, 2009",Spring 2009,Production I.G,Original,"Action, Drama, Mystery, Romance, Sci-Fi, Suspense",R - 17+ (violence & profanity),,https://cdn.myanimelist.net/images/anime/9/15033.jpg
35450,Five Fire Fish,Movie,May 2013,,"Yamamura Animation, Inc.",Original,Avant Garde,G - All Ages,,https://cdn.myanimelist.net/images/anime/10/85473.jpg
9959,Raiyantsuuri no Uta,Movie,"Jul 21, 1994",,"None found, add some",Unknown,Drama,G - All Ages,Historical,https://cdn.myanimelist.net/images/anime/12/27526.jpg
