anime_id,score,rating_count,ranked,popularity,members,favorites
7705,6.11,14621,,2566,50106,126
434,5.53,3086,,6369,6753,4
5191,5.58,483,,10638,1332,4
6277,6.04,324,,10721,1292,2
4033,6.19,3519,,5583,9324,9
2733,6.34,1098,,8560,3002,4
41156,N/A,,,18145,98,0
49751,N/A,,,17603,281,0
21475,N/A,,,15018,292,0
31890,5.98,3339,,5115,11649,11
30074,5.15,175,,14457,339,0
48320,N/A,,,18558,54,0
30019,5.29,149,,14298,354,0
3543,5.83,801,,9249,2310,2
49633,N/A,,,13125,749,0
6077,5.77,197,,11973,789,0
42863,N/A,,,18191,96,0
14811,7.32,69195,,1159,160805,711
49145,7.21,1078,,8232,4587,15
16245,N/A,,,14663,321,0
35609,6.52,178,,7545,4413,2
3098,6.77,563,,10218,1606,5
40375,5.73,279,,12873,594,3
12815,7.91,15031,,1888,84441,844
30249,N/A,,,13009,539,0
22065,N/A,,,14980,295,1
1521,7.33,5888,,5160,11336,28
17147,6.39,453,,9883,1821,1
30427,4.68,224,,14130,372,1
10191,6.89,9081,,3498,28174,33
848,6.16,1087,,8807,2742,2
9164,5.95,196,,12142,742,0
12993,5.53,230,,13369,470,1
2573,6.94,536,,9643,1986,6
17873,6.27,20056,,3052,36765,20
4218,5.68,130,,14169,366,0
31240,8.25,1179380,,22,1865063,59473
3023,6.49,298,,9880,1820,6
2721,5.74,497,,9864,1839,4
77,7.97,31237,,2311,60452,954
43403,N/A,,,19109,25,0
42835,N/A,,,15967,246,0
2983,5.16,3409,,6281,6949,10
2980,6.36,266,,10720,1289,3
34224,N/A,,,17278,150,0
11019,7.01,4047,,5425,9947,6
25687,7.45,56247,,1599,106236,245
43878,6.37,548,,9897,1889,13
20713,5.32,207,,13046,533,0
29541,N/A,,,15891,231,0
941,6.97,8846,,3419,29470,113
45661,N/A,,,18833,37,0
2439,5.64,803,,9091,2447,2
38084,7.94,98414,,838,223784,2126
20057,7.88,129105,,576,310035,4734
37036,6.48,2861,,5220,11036,32
45765,N/A,,,18670,43,0
26151,N/A,,,17678,127,0
9289,7.92,114770,,596,303452,2467
424,7.21,5138,,3661,25688,171
42263,N/A,,,18451,64,0
29895,5.56,145,,14271,356,2
44006,N/A,,,18382,82,0
384,7.01,158188,,561,321463,2195
15897,N/A,,,15083,285,0
36946,8.12,205937,,606,300050,2125
1406,5.90,1992,,7153,5015,14
33232,6.44,349,,10463,1434,1
5936,6.17,298,,11054,1129,1
29151,N/A,,,15871,234,0
48345,N/A,,,18597,54,0
37307,7.17,4058,,4395,17152,16
44145,N/A,,,18834,34,0
31760,4.84,305,,12785,589,0
6980,7.26,4225,,4628,14952,44
34647,6.69,7270,,4650,14712,13
17389,8.36,44916,,1724,96536,730
38325,6.60,986,,6489,6476,4
5184,N/A,,,14397,343,0
8162,5.42,397,,10874,1214,0
21597,6.72,3663,,5698,8876,44
41124,5.22,1792,,7448,4676,3
39372,N/A,,,17243,154,0
8861,6.13,227574,,403,434336,2034
25389,7.06,101215,,1235,149027,103
27939,6.70,4495,,5436,9911,9
3497,5.51,140,,11980,789,0
